shopify_id,title,handle,type,model,tier,yotpo_key,key_source,yotpo_name,yotpo_group,reviews,score,other_keys
10120606154992,Piper Black,spy-piper-black-sunglasses,Sunglasses,PIPER,E-pid,143809,sfcc_pid,PIPER,,1,5.0,163389;163390
10120606384368,Piper Bronze Fade,spy-piper-bronze-fade-sunglasses,Sunglasses,PIPER,E-pid,143809,sfcc_pid,PIPER,,1,5.0,163389;163390
10120606286064,Piper Matte Black,spy-piper-matte-black-sunglasses,Sunglasses,PIPER,E-pid,143809,sfcc_pid,PIPER,,1,5.0,163389;163390
10120617165040,Replacement Lens Marauder Elite,spy-replacement-lens-marauder-elite-no-colour-reference-sunglasses,Snow Goggles,REPLACEMENT LENS MARAUDER ELITE,E-pid,159727,sfcc_pid,REPLACEMENT LENS MARAUDER ELITE,,1,5.0,
10120611463408,Monolith Gaming Matte Black,spy-monolith-gaming-matte-black-sunglasses,Eyeglasses,MONOLITH GAMING,E-pid,105661,sfcc_pid,MONOLITH GAMING,,0,0,
10120611528944,Neutron MIPS Grey,spy-neutron-mips-grey-sunglasses,Snow Helmets,NEUTRON MIPS,E-pid,234847,sfcc_pid,NEUTRON MIPS,,0,0,
10120611823856,Neutron MIPS Matte Black,spy-neutron-mips-matte-black-sunglasses,Snow Helmets,NEUTRON MIPS,E-pid,234847,sfcc_pid,NEUTRON MIPS,,0,0,
10120611496176,Neutron MIPS Tan,spy-neutron-mips-tan-sunglasses,Snow Helmets,NEUTRON MIPS,E-pid,234847,sfcc_pid,NEUTRON MIPS,,0,0,
10120610676976,Renley 56 Crystal Smoke,spy-renley-56-crystal-smoke-sunglasses,Sunglasses,RENLEY 56,E-pid,192010,sfcc_pid,RENLEY 56,,0,0,
10120601764080,Tarmac Brown Stripe Tort,spy-tarmac-brown-stripe-tort-sunglasses,Sunglasses,TARMAC,E-pid,266666,sfcc_pid,TARMAC,,0,0,
10120599503088,Tarmac Soft Matte Black,spy-tarmac-soft-matte-black-sunglasses,Sunglasses,TARMAC,E-pid,266666,sfcc_pid,TARMAC,,0,0,
10120616739056,Waypoint Everblack,spy-waypoint-everblack-sunglasses,Snow Goggles,WAYPOINT,E-pid,225603,sfcc_pid,WAYPOINT,,0,0,
10120602583280,Discord Gloss Black,spy-discord-gloss-black-sunglasses,Sunglasses,DISCORD,C-group,1800000000003,sibling,Discord,DISCORD,686,4.67,
10120602190064,Discord Matte Black Flag,spy-discord-matte-black-flag-sunglasses,Sunglasses,DISCORD,C-group,1800000000003,sibling,Discord,DISCORD,686,4.67,
10120603828464,Cyrus Gloss Black,spy-cyrus-gloss-black-sunglasses,Sunglasses,CYRUS,C-group,1800000000059,sibling,Cyrus,CYRUS,551,4.69,
10120603730160,Cyrus Honey Tort,spy-cyrus-honey-tort-sunglasses,Sunglasses,CYRUS,C-group,1800000000059,sibling,Cyrus,CYRUS,551,4.69,
10120603861232,Cyrus Matte Black Flag,spy-cyrus-matte-black-flag-sunglasses,Sunglasses,CYRUS,C-group,1800000000059,sibling,Cyrus,CYRUS,551,4.69,
10120603533552,Cyrus Matte Olive,spy-cyrus-matte-olive-sunglasses,Sunglasses,CYRUS,C-group,1800000000059,sibling,Cyrus,CYRUS,551,4.69,
10120603468016,Cyrus Soft Matte Black Fade,spy-cyrus-soft-matte-black-fade-sunglasses,Sunglasses,CYRUS,C-group,1800000000059,sibling,Cyrus,CYRUS,551,4.69,
10120603435248,Cyrus Soft Matte Olive Fade,spy-cyrus-soft-matte-olive-fade-sunglasses,Sunglasses,CYRUS,C-group,1800000000059,sibling,Cyrus,CYRUS,551,4.69,
10120603599088,Cyrus Soft Matte Purple Fade,spy-cyrus-soft-matte-purple-fade-sunglasses,Sunglasses,CYRUS,C-group,1800000000059,sibling,Cyrus,CYRUS,551,4.69,
10120603959536,Cyrus Translucent Gunmetal,spy-cyrus-translucent-gunmetal-sunglasses,Sunglasses,CYRUS,C-group,1800000000059,sibling,Cyrus,CYRUS,551,4.69,
10120607269104,Foundation Plus Black,spy-foundation-plus-black-sunglasses,Motocross Goggles,FOUNDATION PLUS,C-group,3200000000018,sibling,Foundation Mx Goggle,FOUNDATION PLUS,460,4.92,
10120601370864,Logan Matte Black Flag,spy-logan-matte-black-flag-sunglasses,Sunglasses,LOGAN,C-group,670939038863,sibling,Logan,LOGAN,288,4.66,
10120601600240,Logan Matte Black Orange Flames,spy-logan-matte-black-orange-flames-sunglasses,Sunglasses,LOGAN,C-group,670939038863,sibling,Logan,LOGAN,288,4.66,
10120605368560,Rebar ANSI Matte Army Green,spy-rebar-ansi-matte-army-green-sunglasses,Sunglasses,REBAR ANSI,C-group,6700000000167,sibling,Rebar,REBAR ANSI,250,4.4,
10120605466864,Rebar ANSI Matte Translucent Gunmetal,spy-rebar-ansi-matte-translucent-gunmetal-sunglasses,Sunglasses,REBAR ANSI,C-group,6700000000167,sibling,Rebar,REBAR ANSI,250,4.4,
10120605729008,Rebar ANSI Sand Matte,spy-rebar-ansi-sand-matte-sunglasses,Sunglasses,REBAR ANSI,C-group,6700000000167,sibling,Rebar,REBAR ANSI,250,4.4,
10120604221680,Montana Black/Honey Tort,spy-montana-black-honey-tort-sunglasses,Sunglasses,MONTANA,C-group,673407973417,sibling,Montana,MONTANA,215,4.61,
10120603992304,Montana Matte Gray/Translucent Black,spy-montana-matte-gray-translucent-black-sunglasses,Sunglasses,MONTANA,C-group,673407973417,sibling,Montana,MONTANA,215,4.61,
10120604287216,Montana Matte Translucent Black,spy-montana-matte-translucent-black-sunglasses,Sunglasses,MONTANA,C-group,673407973417,sibling,Montana,MONTANA,215,4.61,
10120604123376,Montana Soft Matte Black,spy-montana-soft-matte-black-sunglasses,Sunglasses,MONTANA,C-group,673407973417,sibling,Montana,MONTANA,215,4.61,
10120600092912,Rocky Matte Army Green,spy-rocky-matte-army-green-sunglasses,Sunglasses,ROCKY,C-group,673248374864,sibling,Rocky,ROCKY,214,4.66,
